dataset,paper_name,paper_group,kernel,variant,grid_index,status,error,kernel_params,validation_metric,validation_score,support_vectors,support_fraction,selection_utility,fit_seconds
cloud,cloud,experiment_2,poly,user_formula_1,9,ok,,"{""C"": 0.1, ""coef0"": 1.0, ""degree"": 4}",accuracy,0.7222222222222222,7,0.1029411764705882,0.7222222222222222,0.0406398000050103
cloud,cloud,experiment_2,poly,user_formula_1,10,ok,,"{""C"": 0.1, ""coef0"": 0.0, ""degree"": 5}",accuracy,0.7222222222222222,5,0.0735294117647058,0.7222222222222222,0.0493003000010503
cloud,cloud,experiment_2,poly,user_formula_1,11,ok,,"{""C"": 0.1, ""coef0"": 0.5, ""degree"": 5}",accuracy,0.7222222222222222,6,0.088235294117647,0.7222222222222222,0.045903599995654
cloud,cloud,experiment_2,poly,user_formula_1,12,ok,,"{""C"": 0.1, ""coef0"": 1.0, ""degree"": 5}",accuracy,0.7222222222222222,8,0.1176470588235294,0.7222222222222222,0.064568199988571
cloud,cloud,experiment_2,poly,user_formula_1,13,ok,,"{""C"": 1.0, ""coef0"": 0.0, ""degree"": 2}",accuracy,0.7222222222222222,4,0.0588235294117647,0.7222222222222222,0.0561597000050824
cloud,cloud,experiment_2,poly,user_formula_1,14,ok,,"{""C"": 1.0, ""coef0"": 0.5, ""degree"": 2}",accuracy,0.7222222222222222,5,0.0735294117647058,0.7222222222222222,0.0552495000010822
cloud,cloud,experiment_2,poly,user_formula_1,15,ok,,"{""C"": 1.0, ""coef0"": 1.0, ""degree"": 2}",accuracy,0.7222222222222222,6,0.088235294117647,0.7222222222222222,0.0526936999958707
cloud,cloud,experiment_2,poly,user_formula_1,16,ok,,"{""C"": 1.0, ""coef0"": 0.0, ""degree"": 3}",accuracy,0.7222222222222222,5,0.0735294117647058,0.7222222222222222,0.0449738999886903
cloud,cloud,experiment_2,poly,user_formula_1,17,ok,,"{""C"": 1.0, ""coef0"": 0.5, ""degree"": 3}",accuracy,0.7222222222222222,6,0.088235294117647,0.7222222222222222,0.0463667000003624
cloud,cloud,experiment_2,poly,user_formula_1,18,ok,,"{""C"": 1.0, ""coef0"": 1.0, ""degree"": 3}",accuracy,0.7777777777777778,15,0.2205882352941176,0.7777777777777778,0.0508611999975983
cloud,cloud,experiment_2,poly,user_formula_1,19,ok,,"{""C"": 1.0, ""coef0"": 0.0, ""degree"": 4}",accuracy,0.7222222222222222,6,0.088235294117647,0.7222222222222222,0.0395039999857544
cloud,cloud,experiment_2,poly,user_formula_1,20,ok,,"{""C"": 1.0, ""coef0"": 0.5, ""degree"": 4}",accuracy,0.7777777777777778,26,0.3823529411764705,0.7777777777777778,0.0755549000023165
